Areas de investigación,Proyecto
Ingenieria ontologica,ADMIRE
Ingenieria ontologica,Autores 3.0
Ingenieria ontologica,BuscaMedia
Ingenieria ontologica,SemSorGrid4Env
Web semantica y linked data,SEALS
Web semantica y linked data,DynaLearn
Web semantica y linked data,España Virual
Web semantica y linked data,Geobuddies
Web semantica y linked data,PlanetData
Web semantica y linked data,Webn+1
Web semantica y linked data,Knowledge Web
Web semantica y linked data,Esperonto
e-Ciencia semantica,RELIANCE
e-Ciencia semantica,RedTematicaOpenScience
e-Ciencia semantica,Wf4Ever
e-Ciencia semantica,DrInventor
e-Ciencia semantica,W3C Community Group on Research Objects for Scholarly Communication
e-Ciencia semantica,siteresearchobject.org.
e-Ciencia semantica, ADMIRE
e-Ciencia semantica, OntoGrid
e-Ciencia semantica, SCALUS
e-Ciencia semantica,myBigData.
Ingenieria lingüística,LIDER
Ingenieria lingüística,LEMON
Ingenieria lingüística,LIR
Ingenieria lingüística,OntoTag
Ingenieria lingüística,Ontogeneration
Integracion de datos (Big Data e Internet del Futuro),PlanetData
Integracion de datos (Big Data e Internet del Futuro),SemData
Integracion de datos (Big Data e Internet del Futuro),myBigData
